Number,Video Title ,Label,URL ,
1,Vaccine Safety Monitoring for Long-Term Care Facility Staff and Caregivers: v-safe ,Genuine ,https://youtu.be/FPxl-gGXkMw,
2,"COVID-19 Vaccines: How Do We Know They Are Safe? — April 2, 2021 ",Genuine ,https://youtu.be/7bBmQaX2k4w,
3,What is an EUA? ,Genuine ,https://youtu.be/iGkwaESsGBQ,
4,The Delta Variant: What You Should Know - CDC ,Genuine ,https://www.youtube.com/dnMO msrOoMc,
5,COVID-19 Vaccine: Get the Facts – Q&A with Dr. Kim Thomas ,Genuine ,https://youtu.be/NLwc3 M5W-M,
6,COVID-19 Partner Update: A Call to Action: Mobilizing America to Vaccinate Against COVID-19 ,Genuine ,https://youtu.be/dZVmOypYTM0,
7,"COVID-19 Vaccines: Update on Al- lergic Reactions, Contraindications, and Precautions ",Genuine ,https://youtu.be/9RcgAXSKQyw,
8,What Clinicians Need to Know About Pfizer-BioNTech and Mod- erna Vaccines ,Genuine ,https://youtu.be/KU6N6s31WjA,
9,Pregnant during a Pandemic: What the data says about COVID-19 and the Vaccine ,Genuine ,https://youtu.be/ihYrheK6EAI,
10,COVID-19 Partner Call: Vaccina- tion Planning – What You Should Know ,Genuine ,https://youtu.be/nXn4KBJ4oD0,
11,"April 23, 2021 ACIP Meeting - Janssen COVID-19 vaccine ",Genuine ,https://youtu.be/kvLEJbbF3Tk,
12,"Aug 13, 2021 ACIP Meeting - Update on emerging SARS-CoV-2 variants and COVID-19 vaccines ",Genuine ,https://youtu.be/9IVPjieq0-k,
13,"Aug 30, 2021 ACIP Meeting - Dis- cussion; VOTE; COVID-19 booster doses ",Genuine ,https://youtu.be/qjv2a5pP9EA,
14,How Do We Know a COVID-19 Vaccine Will Be Safe and Effective? ,Genuine ,https://youtu.be/8Dalx1kHfpU,
15,COVID-19 Vaccine - What to Know Before You Get the Shot (Recorded 3/5/21) ,Genuine ,https://youtu.be/gUM7khz2d0s,
16,"Khalilah Mitchell, RN",Misinformation,https://youtu.be/ptPuqhLXtsw,
17,Wow. An anti-vaccine nurse in Ohio tried to prove the Vaccines Cause Magnetism theory in an state legislative committee. The demon- stration did not go to plan ,Misinformation ,https://twitter.com/Tylerjoe lb/status/140264658637987840 9?ref src=twsrc%5Etfw%7Ctwcam p%5Etweetembed%7Ctwterm%5E14 02646586379878409%7Ctwgr%5E% 7Ctwcon%5Es1 &ref url=https%3 A%2F%2Fwww.snopes.com%2Ffact -check%2Fjetblue-pilots-die- covid%2F,
18,RWW News: Greg Locke Claims Tennessee Plans to Lock Up Un- vaccinated People in ’Quarantine Camps’ ,Misinformation ,https://youtu.be/lD8g1loSeoU,
19,UK COLUMN NEWS - 4TH DE- CEMBER 2020 - COVID VAC- CINE INFERTILITY ,Misinformation ,https://www.bitchute.com/vid eo/qVsXLnu7J3Hp/,
20,THE NANOTECHNOLOGY PLAN; LOCKDOWN GOALS; ATTACK ON FERTILITY; TRANSGENDERISM AGENDA - DAVID ICKE ,Misinformation ,https://www.bitchute.com/vid eo/7yLBsh7EegKa/,
21,"“YOUR BABIES WILL BE BORN UNABLE TO HAVE CHILDREN OF THEIR OWN”. DR BRYAN ARDIS. JULY 30TH, 2021. ",Misinformation ,https://www.bitchute.com/vid eo/SsBjr5DRjWy9/,
22,DR. ROGER HODKINSON ON THE COVID-19 JAB & INFER- TILITY IN WOMEN AND MEN ,Misinformation ,https://www.bitchute.com/vid eo/dOrkmCb8XaXY/,
23,"TWDU CLIP - COVID INJEC- TION INFERTILITY RISKS IG- NORED - MAY 30, 2021 ",Misinformation ,https://www.bitchute.com/vid eo/X5bvu7aQh6LR/,
24,NURSES AND DOCTORS BLOWING WHISTLES EX- POSING THE INFERTILITY SIDE EFFECTS FROM THE ”VACCINE” ,Misinformation ,https://www.bitchute.com/vid eo/IHiX8Iaclxtd/,
25,DR SIMONE GOLD - HEALTH IMPACTS OF MRNA VACCINES & WOMEN OF CHILD BEARING AGE ,Misinformation ,https://www.bitchute.com/vid eo/6POxa4wT6eHd/,
26,SHOCKING TRUTH MAG- NET VACCINE MYSTERY SHEDDING AND FERTILITY MENSTRUAL MISCARRIAGE DATA ,Misinformation ,https://www.bitchute.com/vid eo/T0UHmlrI0baQ/,
27,"DR FU ̈LLMICH AND DR HOD- KINSON: VACCINES. CON- CERNS AROUND INFERTILITY, BLOOD CLOTS AND MISCAR- RIAGES. ",Misinformation ,https://www.bitchute.com/vid eo/YS0u3wAF9KlJ/,
28,WE MADE A BIG MISTAKE - WE DIDN’T REALISE IT UNTIL NOW ,Misinformation ,https://www.bitchute.com/vid eo/nuM0G6PqgwIK/,
29,"”THE COVID VACCINE – ASK THE EXPERTS !” (DR. ANDREW KAUFMAN, 9. DECEMBER 2020). ",Misinformation ,https://www.bitchute.com/vid eo/j6sXGTBO1t7v/,
30,"WHY MRNA INJECTIONS ARE A THREAT TO HUMANITY AND CAUSE INFERTILITY, CUI BONO BY DR. CARRIE MADEJ ",Misinformation ,https://www.bitchute.com/vid eo/QvyACCyLY1Sh/,
31,WARNING FOR HUMANITY - COVID-19 VACCINE AND TRANSHUMANISM BY DR. CARRIE MADEJ ,Misinformation ,https://www.bitchute.com/vid eo/C1wLpEKkDn3S/,
32,HUMAN 2.0 - A WAKE-UP CALL TO THE WORLD BY DR. CAR- RIE MADEJ ,Misinformation ,https://www.bitchute.com/vid eo/6zuStIgRHqti/,
